"size","gender","age","edu","wealthC"
12,"2",18,2,5
12,"2",60,0,5
12,"2",26,2,5
12,"2",13,0,5
12,"1",11,1,5
12,"1",13,1,5
12,"2",9,0,5
12,"2",6,0,5
12,"1",7,0,5
4,"2",20,2,4
4,"1",22,2,4
4,"2",5,0,4
4,"2",3,0,4
5,"1",97,3,4
5,"2",17,2,4
5,"2",17,1,4
5,"2",16,1,4
5,"2",15,1,4
6,"1",40,2,5
6,"1",19,2,5
6,"2",13,1,5
6,"1",15,2,5
6,"1",24,2,5
6,"1",12,1,5
9,"2",46,0,4
9,"1",59,2,4
9,"2",65,0,4
9,"2",37,1,4
9,"2",16,2,4
9,"1",15,1,4
9,"1",16,2,4
9,"1",14,1,4
9,"1",0,0,4
4,"2",60,0,4
4,"2",22,2,4
4,"1",17,2,4
4,"1",4,0,4
3,"1",23,3,4
3,"1",19,2,4
3,"1",16,2,4
1,"1",32,2,5
6,"2",39,0,4
6,"2",19,2,4
6,"2",1,0,4
6,"2",59,2,4
6,"1",48,2,4
6,"2",8,0,4
4,"2",30,1,3
4,"1",19,2,3
4,"2",13,1,3
4,"2",4,0,3
1,"1",26,3,5
5,"2",38,1,5
5,"1",37,3,5
5,"2",1,0,5
5,"2",19,2,5
5,"2",16,1,5
6,"1",25,3,4
6,"2",26,3,4
6,"2",27,0,4
6,"2",7,0,4
6,"1",0,0,4
6,"1",40,0,4
8,"1",46,2,5
8,"2",37,0,5
8,"2",10,1,5
8,"1",15,0,5
8,"1",8,1,5
8,"1",42,2,5
8,"2",38,1,5
8,"2",12,0,5
5,"1",44,1,5
5,"1",19,2,5
5,"1",15,2,5
5,"2",13,1,5
5,"1",14,2,5
2,"2",20,2,5
2,"1",27,3,5
3,"2",25,2,4
3,"1",26,2,4
3,"1",0,0,4
4,"2",27,3,4
4,"1",28,3,4
4,"2",8,0,4
4,"1",1,0,4
6,"1",52,3,4
6,"2",48,0,4
6,"2",25,2,4
6,"2",9,1,4
6,"2",29,2,4
6,"1",7,1,4
3,"1",50,3,4
3,"2",46,3,4
3,"2",19,2,4
6,"1",63,3,5
6,"2",19,2,5
6,"2",17,1,5
6,"2",3,0,5
6,"2",9,1,5
6,"2",8,0,5
2,"1",23,2,4
2,"1",19,2,4
4,"1",66,0,4
4,"2",58,0,4
4,"2",9,1,4
4,"2",7,1,4
1,"1",30,2,4
3,"1",39,0,4
3,"2",35,0,4
3,"1",5,0,4
5,"1",58,2,4
5,"2",52,0,4
5,"1",27,2,4
5,"2",20,2,4
5,"1",17,2,4
4,"1",50,0,5
4,"2",52,2,5
4,"2",18,2,5
4,"2",5,0,5
7,"2",43,1,4
7,"1",28,2,4
7,"2",23,2,4
7,"1",21,2,4
7,"1",10,1,4
7,"2",11,0,4
7,"2",23,2,4
6,"2",38,0,4
6,"1",40,0,4
6,"2",15,1,4
6,"1",12,1,4
6,"2",4,0,4
6,"1",0,0,4
3,"2",31,1,4
3,"2",13,1,4
3,"1",4,0,4
4,"1",44,0,4
4,"2",10,1,4
4,"1",20,2,4
4,"1",22,2,4
3,"2",20,2,4
3,"2",18,2,4
3,"2",12,1,4
4,"1",28,0,4
4,"2",23,0,4
4,"2",2,0,4
4,"2",0,0,4
3,"1",35,2,4
3,"2",22,2,4
3,"1",3,0,4
4,"2",36,0,4
4,"2",8,0,4
4,"2",11,0,4
4,"1",6,0,4
