"","location","size","wealth","gender","age","education"
"213",4,5,1,2,64,0
"214",4,7,1,1,46,1
"215",4,7,1,1,27,1
"216",4,3,3,1,43,2
"217",4,2,2,1,27,0
"218",4,12,2,1,41,1
"219",4,4,1,1,51,1
"220",4,3,1,2,35,0
"221",4,2,1,1,28,2
"222",4,1,2,1,27,1
"223",4,2,1,1,39,1
"224",4,12,3,1,55,2
"225",4,4,1,2,40,0
"226",4,11,1,1,45,0
"227",4,4,1,1,34,2
"228",4,6,3,2,33,0
"229",4,2,1,1,42,0
"230",4,5,3,1,65,0
"231",6,4,1,1,35,1
"232",6,2,1,2,27,1
"233",6,3,1,1,25,2
"234",6,2,1,2,25,2
"235",6,5,4,1,33,2
"236",6,2,1,1,39,2
"237",6,6,1,1,32,2
"238",6,1,2,1,28,2
"239",6,2,1,1,65,1
"240",6,2,2,1,38,2
"241",6,1,1,1,24,0
"242",6,1,1,1,33,2
"243",6,4,1,2,28,1
"244",6,1,2,1,30,1
"245",6,3,1,2,27,1
"246",6,4,1,1,60,0
"247",6,1,1,2,27,2
"248",6,4,1,1,63,2
"249",6,1,1,1,33,2
"250",6,1,1,1,25,2
"251",6,2,2,1,64,1
"252",6,1,1,1,28,0
"253",6,4,2,1,30,2
"254",6,2,1,1,28,1
"255",6,1,1,1,29,2
"256",6,3,1,1,28,2
"257",6,3,4,1,28,2
"258",6,1,3,1,33,1
"259",6,4,2,1,38,0
"260",6,9,2,1,73,1
"261",4,3,5,1,57,0
"262",4,12,1,1,40,0
"263",4,4,2,1,31,2
"264",4,6,1,1,32,1
"265",4,9,4,1,31,2
"266",4,2,2,1,39,2
"267",4,1,4,1,63,2
"268",4,5,3,2,35,0
"269",4,2,1,1,22,1
"270",4,4,2,1,24,2
"271",4,3,1,2,55,0
"272",4,4,3,1,36,2
"273",4,5,1,1,23,1
"274",4,5,1,1,36,1
"275",4,2,1,1,36,0
"276",4,5,1,1,51,0
"277",4,6,4,1,42,2
"278",4,1,2,1,34,1
"279",4,5,1,1,49,0
"280",4,2,1,1,32,1
"281",4,2,2,1,42,2
"282",4,1,2,1,39,1
"283",4,9,2,1,51,1
"284",4,2,1,1,31,1
"285",4,6,3,1,53,2
"286",4,5,2,1,46,3
"287",4,4,1,1,33,1
"288",4,3,2,2,43,1
"289",4,6,1,2,51,0
"290",4,6,2,1,37,1
"291",11,1,4,2,19,2
"292",11,6,4,2,44,0
"293",11,6,5,1,64,2
"294",11,3,5,1,30,3
"295",11,6,4,2,40,2
"296",11,3,4,1,39,2
"297",11,9,4,2,62,0
"298",11,5,3,1,60,1
"299",11,8,4,1,57,2
"300",11,6,5,2,47,2
"301",11,4,3,1,27,2
"302",11,1,4,1,53,0
"303",11,10,5,1,42,2
"304",11,3,4,1,28,3
"305",11,6,4,1,34,3
"306",11,4,4,1,26,0
"307",11,4,5,2,52,3
"308",11,2,5,1,22,2
"309",11,5,4,2,48,0
"310",11,5,4,1,42,2
"311",11,4,4,2,34,2
"312",11,6,5,2,44,2
"313",11,3,4,2,24,2
"314",11,5,5,2,34,1
"315",11,5,4,2,48,1
"316",11,6,4,2,39,2
"317",11,6,5,1,32,3
"318",11,4,4,2,45,2
"319",11,3,3,2,52,0
"320",11,3,5,2,19,2
"321",1,1,3,1,40,1
"322",1,3,1,1,27,0
"323",1,1,2,1,23,2
"324",1,5,3,1,31,2
"325",1,6,3,1,26,2
"326",1,4,1,1,30,2
"327",1,5,1,1,33,0
"328",1,2,2,1,24,1
"329",1,1,1,1,73,0
"330",1,2,1,1,69,1
"331",1,5,2,1,38,1
"332",1,4,2,1,60,0
"333",1,3,2,2,58,0
"334",1,6,3,1,47,0
"335",1,1,2,1,45,1
"336",1,5,3,1,45,2
"337",1,5,1,1,39,2
"338",1,5,1,1,25,2
"339",1,4,1,1,50,2
"340",1,3,1,2,20,2
"341",1,5,2,1,31,2
"342",1,4,3,1,48,1
"343",1,4,2,2,28,0
"344",1,3,2,1,39,2
"345",1,6,2,1,38,0
"346",1,4,2,1,42,2
"347",1,3,1,1,29,2
"348",1,5,2,1,74,1
"349",10,5,2,2,56,1
"350",10,1,1,1,43,2
"351",10,9,3,1,35,2
"352",10,6,2,1,75,0
"353",10,7,1,1,48,1
"354",10,6,1,1,28,2
"355",10,5,1,1,32,1
"356",10,10,1,1,46,0
"357",10,6,1,1,44,1
"358",10,7,1,1,48,2
"359",10,1,1,1,38,1
"360",10,6,1,1,48,1
"361",10,6,1,1,73,0
"362",10,3,1,1,85,0
"363",10,11,1,1,49,2
"364",10,10,2,1,52,3
"365",10,6,1,2,58,0
"366",10,7,1,1,29,1
"367",10,11,2,1,40,2
"368",10,7,1,1,75,0
"369",10,4,2,1,52,2
"370",10,15,1,1,46,2
"371",10,21,2,1,52,2
"372",10,1,1,1,27,1
"373",10,8,1,1,46,2
"374",10,7,2,1,43,2
"375",10,9,2,1,64,1
"376",10,2,1,1,25,1
"377",11,1,5,1,29,3
"378",11,5,5,1,29,3
"379",11,3,4,1,35,2
"380",11,2,5,1,39,1
"381",11,7,4,2,40,1
"382",11,1,5,1,28,0
"383",11,8,5,2,16,2
"384",11,3,4,1,19,2
"385",11,4,4,2,24,3
"386",11,1,4,1,22,2
"387",11,4,4,1,62,2
"388",11,4,3,2,52,0
"389",11,4,3,2,30,1
"390",11,3,4,1,31,2
"391",11,4,5,2,36,1
"392",11,2,5,1,42,1
"393",11,3,4,1,20,3
"394",11,6,5,1,42,1
"395",11,1,4,2,30,2
"396",11,6,4,2,37,2
"397",11,3,5,2,29,2
"398",11,4,5,1,48,1
"399",11,3,5,1,37,2
"400",11,5,4,1,43,2
"401",11,1,5,1,22,2
"402",11,8,5,1,24,2
"403",5,5,3,1,38,0
"404",5,9,1,1,37,2
"405",5,2,3,2,81,0
"406",5,7,2,1,43,0
"407",5,6,3,1,90,0
"408",5,4,2,1,32,1
"409",5,7,3,1,37,2
"410",5,10,3,1,46,0
"411",5,2,4,1,65,1
"412",5,53,4,1,71,0
"413",5,3,2,1,30,0
"414",5,6,3,2,26,0
"415",5,8,3,1,29,0
"416",5,4,3,2,25,0
"417",5,3,2,1,81,0
"418",5,4,2,2,52,0
"419",5,4,3,2,34,1
"420",5,2,3,2,65,0
"421",5,7,2,2,75,0
"422",5,6,1,1,30,0
"423",5,7,3,1,80,0
"424",5,8,3,1,32,2
"425",5,8,3,2,42,0
"426",5,4,3,2,70,0
"427",5,5,2,1,41,0
"428",5,6,3,1,40,1
"429",5,3,3,1,60,2
"430",5,5,3,1,64,0
"431",5,12,4,1,45,1
"432",5,5,3,1,35,0
"433",4,4,4,1,75,1
"434",4,5,3,1,31,1
"435",4,4,4,2,82,0
"436",4,6,4,1,53,3
"437",4,1,4,1,29,2
